Identifier,Dhatupatha,Dhatu,Pratyaya,Artha,Gana,Pad,Karmak,It_Sign,English_Meaning,Hindi_Meaning
०५.००३७,१२८०),दृ,दृ,हिंसायाम्,,स्वादिः,परस्मैपदी,सकर्मकः,"दृ,दृ,हिंसायाम्,, स्वादिः, परस्मैपदी ,सकर्मकः ,अनिट् ,(to kill, to destroy, to damage, to hurt)","मारना, हिंसा करना"
०५.००३८,१२८० इत्यस्य पाठभेदः),ऋक्ष्,ऋक्षि,हिंसायाम्,,स्वादिः,परस्मैपदी,सकर्मकः,"ऋक्ष्,ऋक्षि,हिंसायाम्,, स्वादिः, परस्मैपदी ,सकर्मकः ,अनिट् ,","to kill, to destroy, to damage, to hurt"
०६.०००१,१२८१),तुद्,तुदँ,व्यथने,,तुदादिः,उभयपदी,सकर्मकः,"तुद्,तुदँ,व्यथने,, तुदादिः, उभयपदी ,सकर्मकः ,अनिट् ,(to wound,to strike,to pain,to irritate, to hurt, to cause pain, to attack)","दुःख देना, पीड़ा करना, घाव करना"
०६.०००२,१२८२),नुद्,णुदँ,प्रेरणे,,तुदादिः,उभयपदी,सकर्मकः,"नुद्,णुदँ,प्रेरणे,, तुदादिः, उभयपदी ,सकर्मकः ,अनिट् ,(to inspire)",प्रेरणा करना
०६.०००३,१२८३),दिश्,दिशँ,अतिसर्जने,,तुदादिः,उभयपदी,सकर्मकः,"दिश्,दिशँ,अतिसर्जने,, तुदादिः, उभयपदी ,सकर्मकः ,अनिट् ,(to give, to donate, to grant, to leave)",दान देना
०६.०००४,१२८४),भ्रज्ज्,भ्रस्जँ,पाके,,तुदादिः,उभयपदी,सकर्मकः,"भ्रज्ज्,भ्रस्जँ,पाके,, तुदादिः, उभयपदी ,सकर्मकः ,अनिट् ,(to fry,to roast,to parch)","पकाना, भुजना"
०६.०००५,१२८५),क्षिप्,क्षिपँ,प्रेरणे,,तुदादिः,उभयपदी,सकर्मकः,"क्षिप्,क्षिपँ,प्रेरणे,, तुदादिः, उभयपदी ,सकर्मकः ,अनिट् ,(to throw, to send, to make fly)","भेजना, फेंकना, उड़ाना"
०६.०००६,१२८६),कृष्,कृषँ,विलेखने,,तुदादिः,उभयपदी,सकर्मकः,"कृष्,कृषँ,विलेखने,, तुदादिः, उभयपदी ,सकर्मकः ,अनिट् ,(to plow, to furrow, to cultivate)","जोतना, हल चलाना"
०६.०००७,१२८७),ऋष्,ऋषीँ,गतौ,,तुदादिः,परस्मैपदी,सकर्मकः,"ऋष्,ऋषीँ,गतौ,, तुदादिः, परस्मैपदी ,सकर्मकः ,सेट्  ,(to go)",जाना
०६.०००८,१२८८),जुष्,जुषीँ,प्रीतिसेवनयोः,,तुदादिः,आत्मनेपदी,सकर्मकः,"जुष्,जुषीँ,प्रीतिसेवनयोः,, तुदादिः, आत्मनेपदी ,सकर्मकः ,सेट्  ,(to serve, to please, to satisfy)","सेवा करना, प्रसन्न होना, सन्तुष्ट करना"
